Carimbo de data/hora,Qual é o seu perfil de estudante?,O que te motivou a estudar Inteligência Artificial? (até 15 linhas)
27/03/2026 06:18:09,Graduação,"Eu fui criado no interior. Meus estudos em tecnologia iniciou quanto eu entrei no IFPA de cametá para realizar o ensino médio integrado ao Técnico em informática. Desse modo, após a formatura entrei na UFPA em Belém, e estive presente em uma palestra sobre os laboratórios de pesquisa e me fui apresentado ao laboratório de Inteligência e Dados (LID). Com essa apresentação me senti muito intrigado e motivado a estudar esse área da computação, que é a Inteligência artificial. Após um tempo, entrei no LID e participei de pesquisas e eventos oque me motiva a continuar nesse área. Atualmente, estou finalizando minha pesquisa voluntária e estou em processo pensamento científico para novos projetos.
"
27/03/2026 08:26:09,Graduação,"Gosto de matemática e me considero bom nisso também. Quand estava no início da graduação sabia que precisa escolher uma área para me ""especializar"". Então, busquei saber qual era a interseção mais interessante entre matemática e computação, nisso encontrei a área de inteligência artificial. Hoje, o que me motiva a continuar estudando IA é a grande variedade de aplicações que essa tecnologia tem ou pode ter."
27/03/2026 09:06:41,Pós-graduação,"Meu interesse pela área de Inteligência Artificial (IA) despertou durante o planejamento para cursar o mestrado com ẽnfase em Ciência de Dados. Essa motivação originou-se da escassez de recursos humanos com competências nees domínio em meu ambiente de atuação, o que me impulsionou a buscar meios de contribuir para o desenvolvimento das capacidades acadêmicas e profissionais nessa vertente. Com o inicio do mestrado em Ciência da Computação, meu interesse pela IA consolidou-se à medida que fui exposto direitamente a conceitos, métodos e aplicações práticas dess tecnologia em problemas complexos do mundo real. Percebi que a IA, e especificamente a Ciência de Dados, possui um vasto potencial para gerar soluções fundamentadas em dados relevantes e de alto impacto. Principal motivação ao estudar IA é adquirir conhecimento e competências profundas que favoreçam meu aprimoramento individual, também possam ser compartilhados com estudantes e gerações futuras. Dessa forma, almejo contribuir para a elevação da qualidade educacional e para a expansão do uso sustentável das tecnologias de IA."
27/03/2026 10:07:52,Pós-graduação,"O que me motivou foi a ideia de desenvolver um algoritmo capaz de fazer tudo o que eu imaginava, algo parecido com o Jarvis da Marvel, um assistente inteligente que pudesse trabalhar comigo. Isso sempre pareceu incrível. Foi esse objetivo que me levou a entrar na área de inteligência artificial. Com o tempo, percebi que gosto muito de programar. Existe uma satisfação em transformar uma ideia que está na mente em algo concreto, que o computador consegue executar e que, de certa forma, ganha ""vida"". Criar algo inteligente, desenvolvido por mim, é extremamente gratificante. É isso que me motiva e me faz sentir realizado."
27/03/2026 10:16:35,Pós-graduação,"Desde a graduação sempre tive interesse em seguir na área acadêmica, sempre pensei em fazer mestrado e doutorado, me interessava bastante pela área da pesquisa científica. Então, ao terminar meu curso pesquisei as áreas que eram ofertadas pelo programa de pós graduação em ciência da computação na UFPA, e decidi fazer mestrado na área de de Redes de Computadores, me lembro que o meu plano de trabalho era sobre sobre FOG COMPUTING, no entanto, ao iniciar o meu mestrado, meu orientador em sua incrível sabedoria me apresentou a área de Inteligência Computacional e me disse carinhosamente que iria me mudar a minha linha de pesquisa e graças a Deus ele fez isso e me encantei pela área e hoje não me vejo em outra <3! Por isso que todo fala que você deve obedecer os seus pais!"
27/03/2026 11:24:56,Pós-graduação,"O meu interesse pela IA surgiu durante a graduação, no segundo semestre. Eu entrei na computação com o intuito de estudar neurociência computacional, e ao realizar uma disciplina de Redes Neurais Computacionais eu tive a chance de criar modelos para predição de falência bancária e diagnóstico de câncer do colo do útero. Assim eu entendi como a IA ajudava a propor tomada de decisão para problemas reais na prática, o que me motivou a estudar mais e buscar oportunidades de pesquisa e mercado."
27/03/2026 11:59:35,Graduação,"Eu antes de entrar na graduação nunca tinha estudado sobre a área de tecnologia da informação e pouco sabia sobre as áreas de abrangência de estudo. No entanto, ao entrar na UFPA, me deparei com um mundo totalmente diferente e novo, com pesquisas em diversas áreas. Logo me interessei por ciência de dados e inteligência artificial pela capacidade multidisciplinar que as duas áreas possuem. Eu gosto da ideia de poder transformar dados desconexos e brutos em informações valiosas e importantes que podem gerar impactos reais em diversas perspectivas. Além disso, vi que a área exigia bastante de matemática, que eu também gosto e acho que sou boa. Hoje, vejo que IA é um recurso valioso para a sociedade e que pode ser utilizada em todos os âmbitos. Quero poder trabalhar com a resolução de problemas da vida real, que a sociedade sente diariamente na pele."
27/03/2026 17:34:12,Graduação,"a minha principal motivação pra começar a estudar IA foi para desenvolver meu trabalho de conclusão de curso, isso porque a IA, em específico a área de PLN, era capaz de oferecer a solução viável para o problema da minha pesquisa. confesso que antes desse momento meu interesse pela área ainda não tinha aflorado de tal modo, entretanto, após iniciar o estudo, me interessava cada vez mais como ainda me interesso até os dias atuais."
27/03/2026 17:38:48,Pós-graduação,"A possibilidade de aprender novas coisas que se encaixam na atualidade. Muitas das tarefas da computação tendem a ter um nível de dificuldade muito amplo quando tentado solucionar com algoritmos clássicos. Daí que, com o advento dos novos algoritmos de IA, surgiu esse interesse. Além de que, hoje em dia o mercado de trabalho está buscando por esses profissionais mais voltados a IA. "
27/03/2026 17:42:55,Graduação,A capacidade de entender a mente humana através da modelagem algorítmica 
,Sintético,"Eu sempre fui aquele tipo de aluno que gostava de entender o funcionamento das coisas por trás da tela. Saí do ensino médio agora e vi que IA na UFPA era a chance de entender essa lógica. Moro com meus pais aqui no Guamá, então a proximidade ajudou. O que me motiva é ver que tudo hoje em dia gera dados e eu quero aprender a usar isso pra criar algo que ajude a galera do bairro, tipo melhorar o fluxo do transporte público. Não é só pelo retorno financeiro, que eu sei que é bom, mas porque eu gosto de lógica e quero ver como essa tecnologia pode ser aplicada na nossa realidade aqui de Belém."
,Sintético,"Sendo bem sincera, eu vim do interior, lá de Abaetetuba, e estudei muito pro ENEM pra conseguir essa vaga. Moro sozinha agora aqui em Belém e é um desafio grande. Escolhi IA porque vi que é uma área que me permite trabalhar de forma remota no futuro. Quero dar uma condição melhor pra minha família. Gosto dessa parte de Ciência de Dados, de organizar informações pra elas fazerem sentido. Meu plano é aplicar o que eu aprender no laboratório pra ajudar na produção do açaí da minha região, talvez usando modelos pra prever a safra. É unir a tecnologia com o que a gente já faz no interior."
,Sintético,"Eu tive bastante dificuldade na escola por causa do TDAH, mas com computação eu sempre tive um foco maior. Meus pais me incentivaram a tentar o curso na UFPA porque viram que eu tinha facilidade com algoritmos. Entrei um pouco pelo hype da área, confesso, mas agora quero entender o que acontece no back-end. Sou apaixonado por games e quero saber como as IAs de comportamento de personagem funcionam. É uma mistura de querer uma carreira sólida com a vontade de criar coisas novas. Estudar no laboratório de dados vai ser muito bom pra mim, porque prefiro aprender na prática."
,Sintético,"Eu trabalho como atendente durante o dia e vou estudar IA no período da noite. É bem cansativo, mas é o caminho que escolhi. O que me trouxe pra cá foi perceber como a automação está mudando o mercado de trabalho. Eu não quero ser substituído, quero ser a pessoa que desenvolve e gerencia esses sistemas. Tenho 21 anos e saí do ensino médio faz um tempo, mas só agora passei. Meu foco é profissionalizar minha carreira, ter uma renda melhor e quem sabe ajudar a desenvolver sistemas que agilizem o atendimento na área da saúde aqui no estado, que a gente sabe que precisa."
,Sintético,"Entrei em IA porque minha mãe dizia que eu era bom com números, mas eu sempre pendi mais para o lado criativo. Aí descobri que dá pra unir as duas coisas com IA Generativa. Achei muito interessante como podemos usar modelos pra auxiliar em design e música. Tenho 18 anos, moro com meus avós e gosto de testar novas ferramentas. Quero usar o laboratório de inteligência de dados pra entender como os modelos aprendem estilos artísticos. Pra mim, a motivação é essa ponte entre o que é humano e o que é processamento de máquina. É um campo novo e quero crescer junto com ele aqui na UFPA."
,Sintético,"Fui motivado principalmente pela estabilidade e pelas oportunidades do mercado. Vi que Inteligência Artificial é a profissão com maior crescimento e decidi focar nisso desde o cursinho. Moro com meus pais e eles me dão bastante apoio. Conforme comecei a ler sobre o assunto, vi que tem muita estatística e matemática envolvida, e eu gosto dessa exatidão. O laboratório de dados me interessa porque quero aprender a lidar com grandes volumes de informação. Quero ser um profissional qualificado, trabalhar em grandes empresas, mas mantendo meu vínculo aqui com a pesquisa da universidade."
,Sintético,"Eu sou cadeirante e sempre vi na tecnologia uma ferramenta de autonomia. Escolhi IA na UFPA porque acredito que a acessibilidade pode evoluir muito com modelos preditivos. Imagina sistemas que conseguem antecipar a necessidade de quem tem mobilidade reduzida? Isso me motiva demais. Tenho 19 anos, estudo muito de forma autodidata e vejo que a IA permite colaborar com diversas áreas, da saúde à engenharia. Não é só sobre programar, é sobre criar soluções que deem independência para as pessoas. Quero que meu trabalho no laboratório ajude a eliminar barreiras que enfrento no cotidiano."
,Sintético,"Eu não sabia muito bem o que queria até ver um documentário sobre redes neurais. Achei o conceito fascinante. Tenho 20 anos, moro na Cidade Nova e pego ônibus todo dia pra UFPA. O que me motiva é o desafio. Dizem que o curso é bem pesado, com muito cálculo, e eu quero provar que consigo dominar esse conhecimento. Gosto da ideia de que estamos ensinando sistemas a aprender. É claro que o mercado financeiro atrai bastante, mas o que me empolga mesmo é ver o código funcionando e a predição saindo correta depois de tanto esforço no laboratório."
,Sintético,"Eu vim de escola pública e sempre achei que IA era algo inalcançável. Quando soube do curso na UFPA, foquei total no ENEM. Moro com minha tia e ajudo ela no trabalho durante a tarde. Minha motivação é mostrar que a gente da periferia também pode ocupar esses espaços tecnológicos. Para mim, a IA é uma ferramenta de impacto social. Se soubermos usar os dados da nossa própria realidade, podemos sugerir políticas públicas melhores. Quero entrar no laboratório pra aprender a tratar informações que realmente mudem a vida das comunidades aqui de Belém."
