,date_time,student_profile,background,tokens,stems,lemmas
0,27/03/2026 06:18:09,Graduação,eu fui criado no interior meus estudos em tecnologia iniciou quanto eu entrei no ifpa de cameta para realizar o ensino medio integrado ao tecnico em informatica desse modo apos a formatura entrei na ufpa em belem e estive presente em uma palestra sobre os laboratorios de pesquisa e me fui apresentado ao laboratorio de inteligencia e dados lid com essa apresentacao me senti muito intrigado e motivado a estudar esse area da computacao que e a inteligencia artificial apos um tempo entrei no lid e participei de pesquisas e eventos oque me motiva a continuar nesse area atualmente estou finalizando minha pesquisa voluntaria e estou em processo pensamento cientifico para novos projetos,"['criado', 'interior', 'estudos', 'tecnologia', 'iniciou', 'quanto', 'entrei', 'ifpa', 'cameta', 'realizar', 'ensino', 'medio', 'integrado', 'tecnico', 'informatica', 'desse', 'modo', 'apos', 'formatura', 'entrei', 'ufpa', 'belem', 'presente', 'palestra', 'sobre', 'laboratorios', 'pesquisa', 'apresentado', 'laboratorio', 'inteligencia', 'dados', 'lid', 'apresentacao', 'senti', 'intrigado', 'motivado', 'estudar', 'area', 'computacao', 'inteligencia', 'artificial', 'apos', 'tempo', 'entrei', 'lid', 'participei', 'pesquisas', 'eventos', 'oque', 'motiva', 'continuar', 'nesse', 'area', 'atualmente', 'finalizando', 'pesquisa', 'voluntaria', 'processo', 'pensamento', 'cientifico', 'novos', 'projetos']","['cri', 'interi', 'estud', 'tecnolog', 'inici', 'quant', 'entr', 'ifp', 'camet', 'realiz', 'ensin', 'medi', 'integr', 'tecn', 'informa', 'dess', 'mod', 'apo', 'format', 'entr', 'ufp', 'bel', 'pres', 'palestr', 'sobr', 'laboratori', 'pesquis', 'apresent', 'laboratori', 'inteligenc', 'dad', 'lid', 'apresentaca', 'sent', 'intrig', 'motiv', 'estud', 'are', 'computaca', 'inteligenc', 'artific', 'apo', 'temp', 'entr', 'lid', 'particip', 'pesquis', 'event', 'oqu', 'motiv', 'continu', 'ness', 'are', 'atual', 'finaliz', 'pesquis', 'volunt', 'process', 'pens', 'cientif', 'nov', 'projet']","['eu', 'ser', 'criar', 'em o', 'interior', 'meu', 'estudo', 'em', 'tecnologia', 'iniciar', 'quanto', 'eu', 'entrar', 'em o', 'ifpa', 'de', 'cameta', 'para', 'realizar', 'o', 'ensino', 'medio', 'integrar', 'a o', 'tecnico', 'em', 'informatica', 'de esse', 'modo', 'apo', 'o', 'formatura', 'entrar', 'em o', 'ufpa', 'em', 'belem', 'e', 'estive', 'presente', 'em', 'um', 'palestra', 'sobre', 'o', 'laboratorio', 'de', 'pesquisa', 'e', 'eu', 'ser', 'apresentar', 'a o', 'laboratorio', 'de', 'inteligencia', 'e', 'dado', 'lid', 'com', 'esse', 'apresentacao', 'eu', 'sentir', 'muito', 'intrigado', 'e', 'motivar', 'a', 'estudar', 'esse', 'area', 'de o', 'computacao', 'que', 'e', 'o', 'inteligencia', 'artificial', 'apo', 'um', 'tempo', 'entrar', 'em o', 'lid', 'e', 'participar', 'de', 'pesquisa', 'e', 'evento', 'oque', 'eu', 'motivar', 'a', 'continuar', 'em esse', 'area', 'atualmente', 'estar', 'finalizar', 'meu', 'pesquisa', 'voluntario', 'e', 'estar', 'em', 'processo', 'pensamento', 'cientifico', 'para', 'novo', 'projeto']"
1,27/03/2026 08:26:09,Graduação,gosto de matematica e me considero bom nisso tambem quand estava no inicio da graduacao sabia que precisa escolher uma area para me especializar entao busquei saber qual era a intersecao mais interessante entre matematica e computacao nisso encontrei a area de inteligencia artificial hoje o que me motiva a continuar estudando ia e a grande variedade de aplicacoes que essa tecnologia tem ou pode ter,"['gosto', 'matematica', 'considero', 'bom', 'nisso', 'quand', 'inicio', 'graduacao', 'sabia', 'precisa', 'escolher', 'area', 'especializar', 'entao', 'busquei', 'saber', 'intersecao', 'interessante', 'matematica', 'computacao', 'nisso', 'encontrei', 'area', 'inteligencia', 'artificial', 'hoje', 'motiva', 'continuar', 'estudando', 'ia', 'grande', 'variedade', 'aplicacoes', 'tecnologia', 'pode', 'ter']","['gost', 'matema', 'consider', 'bom', 'niss', 'quand', 'inici', 'graduaca', 'sab', 'precis', 'escolh', 'are', 'especial', 'enta', 'busq', 'sab', 'interseca', 'interess', 'matema', 'computaca', 'niss', 'encontr', 'are', 'inteligenc', 'artific', 'hoj', 'motiv', 'continu', 'estud', 'ia', 'grand', 'variedad', 'aplicaco', 'tecnolog', 'pod', 'ter']","['gostar', 'de', 'matematica', 'e', 'eu', 'considerar', 'bom', 'em isso', 'tambem', 'quand', 'estar', 'em o', 'inicio', 'de o', 'graduacao', 'saber', 'que', 'precisar', 'escolher', 'um', 'areo', 'para', 'eu', 'especializar', 'entao', 'busquei', 'saber', 'qual', 'ser', 'o', 'intersecao', 'mais', 'interessante', 'entre', 'matematica', 'e', 'computacao', 'em isso', 'encontrar', 'o', 'areo', 'de', 'inteligencia', 'artificial', 'hoje', 'o', 'que', 'eu', 'motivar', 'a', 'continuar', 'estudar', 'ir', 'e', 'o', 'grande', 'variedade', 'de', 'aplicacoes', 'que', 'esse', 'tecnologia', 'ter', 'ou', 'poder', 'ter']"
2,27/03/2026 09:06:41,Pós-graduação,meu interesse pela area de inteligencia artificial ia despertou durante o planejamento para cursar o mestrado com enfase em ciencia de dados essa motivacao originouse da escassez de recursos humanos com competencias nees dominio em meu ambiente de atuacao o que me impulsionou a buscar meios de contribuir para o desenvolvimento das capacidades academicas e profissionais nessa vertente com o inicio do mestrado em ciencia da computacao meu interesse pela ia consolidouse a medida que fui exposto direitamente a conceitos metodos e aplicacoes praticas dess tecnologia em problemas complexos do mundo real percebi que a ia e especificamente a ciencia de dados possui um vasto potencial para gerar solucoes fundamentadas em dados relevantes e de alto impacto principal motivacao ao estudar ia e adquirir conhecimento e competencias profundas que favorecam meu aprimoramento individual tambem possam ser compartilhados com estudantes e geracoes futuras dessa forma almejo contribuir para a elevacao da qualidade educacional e para a expansao do uso sustentavel das tecnologias de ia,"['interesse', 'area', 'inteligencia', 'artificial', 'ia', 'despertou', 'durante', 'planejamento', 'cursar', 'mestrado', 'enfase', 'ciencia', 'dados', 'motivacao', 'originouse', 'escassez', 'recursos', 'humanos', 'competencias', 'nees', 'dominio', 'ambiente', 'atuacao', 'impulsionou', 'buscar', 'meios', 'contribuir', 'desenvolvimento', 'capacidades', 'academicas', 'profissionais', 'nessa', 'vertente', 'inicio', 'mestrado', 'ciencia', 'computacao', 'interesse', 'ia', 'consolidouse', 'medida', 'exposto', 'direitamente', 'conceitos', 'metodos', 'aplicacoes', 'praticas', 'dess', 'tecnologia', 'problemas', 'complexos', 'mundo', 'real', 'percebi', 'ia', 'especificamente', 'ciencia', 'dados', 'possui', 'vasto', 'potencial', 'gerar', 'solucoes', 'fundamentadas', 'dados', 'relevantes', 'alto', 'impacto', 'principal', 'motivacao', 'estudar', 'ia', 'adquirir', 'conhecimento', 'competencias', 'profundas', 'favorecam', 'aprimoramento', 'individual', 'possam', 'compartilhados', 'estudantes', 'geracoes', 'futuras', 'dessa', 'forma', 'almejo', 'contribuir', 'elevacao', 'qualidade', 'educacional', 'expansao', 'uso', 'sustentavel', 'tecnologias', 'ia']","['inter', 'are', 'inteligenc', 'artific', 'ia', 'despert', 'dur', 'planej', 'curs', 'mestr', 'enfas', 'cienc', 'dad', 'motivaca', 'originous', 'escass', 'recurs', 'human', 'competenc', 'nee', 'domini', 'ambi', 'atuaca', 'impulsion', 'busc', 'mei', 'contribu', 'desenvolv', 'capac', 'academ', 'profiss', 'ness', 'vert', 'inici', 'mestr', 'cienc', 'computaca', 'inter', 'ia', 'consolidous', 'med', 'expost', 'direit', 'conceit', 'metod', 'aplicaco', 'pra', 'des', 'tecnolog', 'problem', 'complex', 'mund', 'real', 'perceb', 'ia', 'especific', 'cienc', 'dad', 'possu', 'vast', 'potenc', 'ger', 'soluco', 'fundament', 'dad', 'relev', 'alt', 'impact', 'princip', 'motivaca', 'estud', 'ia', 'adquir', 'conhec', 'competenc', 'profund', 'favorec', 'aprimor', 'individ', 'poss', 'compartilh', 'estud', 'geraco', 'futur', 'dess', 'form', 'almej', 'contribu', 'elevaca', 'qual', 'educac', 'expansa', 'uso', 'sustenta', 'tecnolog', 'ia']","['meu', 'interesse', 'por o', 'areo', 'de', 'inteligencia', 'artificial', 'ir', 'despertar', 'durante', 'o', 'planejamento', 'para', 'cursar', 'o', 'mestrado', 'com', 'enfase', 'em', 'ciencia', 'de', 'dado', 'esse', 'motivacao', 'Originouse', 'de o', 'escassez', 'de', 'recurso', 'humano', 'com', 'competencia', 'nees', 'dominio', 'em', 'meu', 'ambiente', 'de', 'atuacao', 'o', 'que', 'eu', 'impulsionar', 'a', 'buscar', 'meio', 'de', 'contribuir', 'para', 'o', 'desenvolvimento', 'de o', 'capacidade', 'academico', 'e', 'profissional', 'em esse', 'vertente', 'com', 'o', 'inicio', 'de o', 'mestrado', 'em', 'ciencia', 'de o', 'computacao', 'meu', 'interesse', 'por o', 'ir', 'consolidousar', 'o', 'medida', 'que', 'ser', 'expor', 'direitamente', 'a', 'conceito', 'metor', 'e', 'aplicacoes', 'pratica', 'dess', 'tecnologia', 'em', 'problema', 'complexo', 'de o', 'mundo', 'real', 'percebi', 'que', 'o', 'ir', 'e', 'especificamente', 'o', 'ciencia', 'de', 'dado', 'possuir', 'um', 'vasto', 'potencial', 'para', 'gerar', 'solucoes', 'fundamentar', 'em', 'dado', 'relevante', 'e', 'de', 'alto', 'impacto', 'principal', 'motivacao', 'a o', 'estudar', 'ir', 'e', 'adquirir', 'conhecimento', 'e', 'competencia', 'profundo', 'que', 'favorecar', 'meu', 'aprimoramento', 'individual', 'tambem', 'poder', 'ser', 'compartilhar', 'com', 'estudante', 'e', 'geracoe', 'futuro', 'de esse', 'forma', 'almejo', 'contribuir', 'para', 'o', 'elevacao', 'de o', 'qualidade', 'educacional', 'e', 'para', 'o', 'expansao', 'de o', 'uso', 'sustentavel', 'de o', 'tecnologia', 'de', 'ia']"
3,27/03/2026 10:07:52,Pós-graduação,o que me motivou foi a ideia de desenvolver um algoritmo capaz de fazer tudo o que eu imaginava algo parecido com o jarvis da marvel um assistente inteligente que pudesse trabalhar comigo isso sempre pareceu incrivel foi esse objetivo que me levou a entrar na area de inteligencia artificial com o tempo percebi que gosto muito de programar existe uma satisfacao em transformar uma ideia que esta na mente em algo concreto que o computador consegue executar e que de certa forma ganha vida criar algo inteligente desenvolvido por mim e extremamente gratificante e isso que me motiva e me faz sentir realizado,"['motivou', 'ideia', 'desenvolver', 'algoritmo', 'capaz', 'fazer', 'tudo', 'imaginava', 'algo', 'parecido', 'jarvis', 'marvel', 'assistente', 'inteligente', 'pudesse', 'trabalhar', 'comigo', 'sempre', 'pareceu', 'incrivel', 'objetivo', 'levou', 'entrar', 'area', 'inteligencia', 'artificial', 'tempo', 'percebi', 'gosto', 'programar', 'existe', 'satisfacao', 'transformar', 'ideia', 'mente', 'algo', 'concreto', 'computador', 'consegue', 'executar', 'certa', 'forma', 'ganha', 'vida', 'criar', 'algo', 'inteligente', 'desenvolvido', 'mim', 'extremamente', 'gratificante', 'motiva', 'faz', 'sentir', 'realizado']","['motiv', 'ide', 'desenvolv', 'algoritm', 'capaz', 'faz', 'tud', 'imagin', 'alg', 'parec', 'jarvil', 'marvel', 'assist', 'intelig', 'pud', 'trabalh', 'comig', 'sempr', 'parec', 'incri', 'obje', 'lev', 'entr', 'are', 'inteligenc', 'artific', 'temp', 'perceb', 'gost', 'program', 'exist', 'satisfaca', 'transform', 'ide', 'ment', 'alg', 'concret', 'comput', 'conseg', 'execut', 'cert', 'form', 'ganh', 'vid', 'cri', 'alg', 'intelig', 'desenvolv', 'mim', 'extrem', 'gratific', 'motiv', 'faz', 'sent', 'realiz']","['o', 'que', 'eu', 'motivar', 'ser', 'o', 'ideia', 'de', 'desenvolver', 'um', 'algoritmo', 'capaz', 'de', 'fazer', 'tudo', 'o', 'que', 'eu', 'imaginar', 'algo', 'parecer', 'com', 'o', 'jarvis', 'de o', 'marvel', 'um', 'assistente', 'inteligente', 'que', 'poder', 'trabalhar', 'comigo', 'isso', 'sempre', 'parecer', 'incrivel', 'ser', 'esse', 'objetivo', 'que', 'eu', 'levar', 'a', 'entrar', 'em o', 'area', 'de', 'inteligencia', 'artificial', 'com', 'o', 'tempo', 'percebi', 'que', 'gostar', 'muito', 'de', 'programar', 'existir', 'um', 'satisfacao', 'em', 'transformar', 'um', 'ideia', 'que', 'este', 'em o', 'mente', 'em', 'algo', 'concreto', 'que', 'o', 'computador', 'conseguir', 'executar', 'e', 'que', 'de', 'certo', 'forma', 'ganhar', 'vida', 'criar', 'algo', 'inteligente', 'desenvolver', 'por', 'eu', 'e', 'extremamente', 'gratificante', 'e', 'isso', 'que', 'eu', 'motivo', 'e', 'eu', 'fazer', 'sentir', 'realizar']"
4,27/03/2026 10:16:35,Pós-graduação,desde a graduacao sempre tive interesse em seguir na area academica sempre pensei em fazer mestrado e doutorado me interessava bastante pela area da pesquisa cientifica entao ao terminar meu curso pesquisei as areas que eram ofertadas pelo programa de pos graduacao em ciencia da computacao na ufpa e decidi fazer mestrado na area de de redes de computadores me lembro que o meu plano de trabalho era sobre sobre fog computing no entanto ao iniciar o meu mestrado meu orientador em sua incrivel sabedoria me apresentou a area de inteligencia computacional e me disse carinhosamente que iria me mudar a minha linha de pesquisa e gracas a deus ele fez isso e me encantei pela area e hoje nao me vejo em outra 3 por isso que todo fala que voce deve obedecer os seus pais,"['desde', 'graduacao', 'sempre', 'interesse', 'seguir', 'area', 'academica', 'sempre', 'pensei', 'fazer', 'mestrado', 'doutorado', 'interessava', 'bastante', 'area', 'pesquisa', 'cientifica', 'entao', 'terminar', 'curso', 'pesquisei', 'areas', 'ofertadas', 'programa', 'pos', 'graduacao', 'ciencia', 'computacao', 'ufpa', 'decidi', 'fazer', 'mestrado', 'area', 'redes', 'computadores', 'lembro', 'plano', 'trabalho', 'sobre', 'sobre', 'fog', 'computing', 'entanto', 'iniciar', 'mestrado', 'orientador', 'incrivel', 'sabedoria', 'apresentou', 'area', 'inteligencia', 'computacional', 'disse', 'carinhosamente', 'iria', 'mudar', 'linha', 'pesquisa', 'gracas', 'deus', 'fez', 'encantei', 'area', 'hoje', 'vejo', 'outra', '3', 'todo', 'fala', 'deve', 'obedecer', 'pais']","['desd', 'graduaca', 'sempr', 'inter', 'segu', 'are', 'academ', 'sempr', 'pens', 'faz', 'mestr', 'doutor', 'interess', 'bast', 'are', 'pesquis', 'cientif', 'enta', 'termin', 'curs', 'pesquis', 'are', 'ofert', 'program', 'po', 'graduaca', 'cienc', 'computaca', 'ufp', 'decid', 'faz', 'mestr', 'are', 'red', 'comput', 'lembr', 'plan', 'trabalh', 'sobr', 'sobr', 'fog', 'computing', 'entant', 'inici', 'mestr', 'orient', 'incri', 'sabed', 'apresent', 'are', 'inteligenc', 'computac', 'diss', 'carinhos', 'iri', 'mud', 'linh', 'pesquis', 'grac', 'deu', 'fez', 'encant', 'are', 'hoj', 'vej', 'outr', '3', 'tod', 'fal', 'dev', 'obedec', 'pal']","['desde', 'o', 'graduacao', 'sempre', 'ter', 'interesse', 'em', 'seguir', 'em o', 'areo', 'academica', 'sempre', 'pensar', 'em', 'fazer', 'mestrado', 'e', 'doutorar', 'eu', 'interessar', 'bastante', 'por o', 'areo', 'de o', 'pesquisa', 'cientifico', 'entao', 'a o', 'terminar', 'meu', 'curso', 'pesquiseer', 'o', 'area', 'que', 'ser', 'ofertar', 'por o', 'programa', 'de', 'pos', 'graduacao', 'em', 'ciencia', 'de o', 'computacao', 'em o', 'ufpa', 'e', 'decidir', 'fazer', 'mestrado', 'em o', 'area', 'de', 'de', 'rede', 'de', 'computador', 'eu', 'lembro', 'que', 'o', 'meu', 'plano', 'de', 'trabalho', 'ser', 'sobre', 'sobre', 'fog', 'computing', 'em o', 'entanto', 'a o', 'iniciar', 'o', 'meu', 'mestrado', 'meu', 'orientador', 'em', 'seu', 'incrivel', 'sabedoria', 'eu', 'apresentar', 'o', 'areo', 'de', 'inteligencia', 'computacional', 'e', 'eu', 'dizer', 'carinhosamente', 'que', 'ir', 'eu', 'mudar', 'o', 'meu', 'linha', 'de', 'pesquisa', 'e', 'graca', 'o', 'Deus', 'ele', 'fazer', 'isso', 'e', 'eu', 'encantar', 'por o', 'areo', 'e', 'hoje', 'nao', 'eu', 'vejo', 'em', 'outro', '3', 'por', 'isso', 'que', 'todo', 'falar', 'que', 'voce', 'dever', 'obedecer', 'o', 'seu', 'pai']"
5,27/03/2026 11:24:56,Pós-graduação,o meu interesse pela ia surgiu durante a graduacao no segundo semestre eu entrei na computacao com o intuito de estudar neurociencia computacional e ao realizar uma disciplina de redes neurais computacionais eu tive a chance de criar modelos para predicao de falencia bancaria e diagnostico de cancer do colo do utero assim eu entendi como a ia ajudava a propor tomada de decisao para problemas reais na pratica o que me motivou a estudar mais e buscar oportunidades de pesquisa e mercado,"['interesse', 'ia', 'surgiu', 'durante', 'graduacao', 'segundo', 'semestre', 'entrei', 'computacao', 'intuito', 'estudar', 'neurociencia', 'computacional', 'realizar', 'disciplina', 'redes', 'neurais', 'computacionais', 'chance', 'criar', 'modelos', 'predicao', 'falencia', 'bancaria', 'diagnostico', 'cancer', 'colo', 'utero', 'assim', 'entendi', 'ia', 'ajudava', 'propor', 'tomada', 'decisao', 'problemas', 'reais', 'pratica', 'motivou', 'estudar', 'buscar', 'oportunidades', 'pesquisa', 'mercado']","['inter', 'ia', 'surg', 'dur', 'graduaca', 'segund', 'semestr', 'entr', 'computaca', 'intuit', 'estud', 'neurocienc', 'computac', 'realiz', 'disciplin', 'red', 'neur', 'computac', 'chanc', 'cri', 'model', 'predica', 'falenc', 'banc', 'diagnost', 'canc', 'col', 'uter', 'assim', 'entend', 'ia', 'ajud', 'prop', 'tom', 'decisa', 'problem', 'real', 'pra', 'motiv', 'estud', 'busc', 'oportun', 'pesquis', 'merc']","['o', 'meu', 'interesse', 'por o', 'ia', 'surgir', 'durante', 'o', 'graduacao', 'em o', 'segundo', 'semestre', 'eu', 'entrar', 'em o', 'computacao', 'com', 'o', 'intuito', 'de', 'estudar', 'neurociencia', 'computacional', 'e', 'a o', 'realizar', 'um', 'disciplina', 'de', 'rede', 'neural', 'computacional', 'eu', 'ter', 'o', 'chance', 'de', 'criar', 'modelo', 'para', 'predicao', 'de', 'falencia', 'bancario', 'e', 'diagnostico', 'de', 'cancer', 'de o', 'colo', 'de o', 'utero', 'assim', 'eu', 'entender', 'como', 'o', 'ir', 'ajudar', 'a', 'propor', 'tomar', 'de', 'decisao', 'para', 'problema', 'real', 'em o', 'pratico', 'o', 'que', 'eu', 'motivar', 'a', 'estudar', 'mais', 'e', 'buscar', 'oportunidade', 'de', 'pesquisa', 'e', 'mercado']"
6,27/03/2026 11:59:35,Graduação,eu antes de entrar na graduacao nunca tinha estudado sobre a area de tecnologia da informacao e pouco sabia sobre as areas de abrangencia de estudo no entanto ao entrar na ufpa me deparei com um mundo totalmente diferente e novo com pesquisas em diversas areas logo me interessei por ciencia de dados e inteligencia artificial pela capacidade multidisciplinar que as duas areas possuem eu gosto da ideia de poder transformar dados desconexos e brutos em informacoes valiosas e importantes que podem gerar impactos reais em diversas perspectivas alem disso vi que a area exigia bastante de matematica que eu tambem gosto e acho que sou boa hoje vejo que ia e um recurso valioso para a sociedade e que pode ser utilizada em todos os ambitos quero poder trabalhar com a resolucao de problemas da vida real que a sociedade sente diariamente na pele,"['antes', 'entrar', 'graduacao', 'nunca', 'estudado', 'sobre', 'area', 'tecnologia', 'informacao', 'pouco', 'sabia', 'sobre', 'areas', 'abrangencia', 'estudo', 'entanto', 'entrar', 'ufpa', 'deparei', 'mundo', 'totalmente', 'diferente', 'novo', 'pesquisas', 'diversas', 'areas', 'logo', 'interessei', 'ciencia', 'dados', 'inteligencia', 'artificial', 'capacidade', 'multidisciplinar', 'duas', 'areas', 'possuem', 'gosto', 'ideia', 'poder', 'transformar', 'dados', 'desconexos', 'brutos', 'informacoes', 'valiosas', 'importantes', 'podem', 'gerar', 'impactos', 'reais', 'diversas', 'perspectivas', 'alem', 'disso', 'vi', 'area', 'exigia', 'bastante', 'matematica', 'gosto', 'acho', 'boa', 'hoje', 'vejo', 'ia', 'recurso', 'valioso', 'sociedade', 'pode', 'utilizada', 'todos', 'ambitos', 'quero', 'poder', 'trabalhar', 'resolucao', 'problemas', 'vida', 'real', 'sociedade', 'sente', 'diariamente', 'pele']","['ant', 'entr', 'graduaca', 'nunc', 'estud', 'sobr', 'are', 'tecnolog', 'informaca', 'pouc', 'sab', 'sobr', 'are', 'abrangenc', 'estud', 'entant', 'entr', 'ufp', 'dep', 'mund', 'total', 'difer', 'nov', 'pesquis', 'divers', 'are', 'log', 'interess', 'cienc', 'dad', 'inteligenc', 'artific', 'capac', 'multidisciplin', 'dua', 'are', 'possu', 'gost', 'ide', 'pod', 'transform', 'dad', 'desconex', 'brut', 'informaco', 'vali', 'import', 'pod', 'ger', 'impact', 'real', 'divers', 'perspec', 'alem', 'diss', 'vi', 'are', 'exig', 'bast', 'matema', 'gost', 'ach', 'boa', 'hoj', 'vej', 'ia', 'recurs', 'vali', 'sociedad', 'pod', 'utiliz', 'tod', 'ambit', 'quer', 'pod', 'trabalh', 'resoluca', 'problem', 'vid', 'real', 'sociedad', 'sent', 'di', 'pel']","['eu', 'antes', 'de', 'entrar', 'em o', 'graduacao', 'nunca', 'ter', 'estudar', 'sobre', 'o', 'areo', 'de', 'tecnologia', 'de o', 'informacao', 'e', 'pouco', 'saber', 'sobre', 'o', 'area', 'de', 'abrangencia', 'de', 'estudo', 'em o', 'entanto', 'a o', 'entrar', 'em o', 'ufpa', 'eu', 'deparar', 'com', 'um', 'mundo', 'totalmente', 'diferente', 'e', 'novo', 'com', 'pesquisa', 'em', 'diversos', 'area', 'logo', 'eu', 'interessar', 'por', 'ciencia', 'de', 'dado', 'e', 'inteligencia', 'artificial', 'por o', 'capacidade', 'multidisciplinar', 'que', 'o', 'dois', 'area', 'possuir', 'eu', 'gostar', 'de o', 'ideia', 'de', 'poder', 'transformar', 'dado', 'desconexo', 'e', 'bruto', 'em', 'informacoes', 'valiosa', 'e', 'importante', 'que', 'poder', 'gerar', 'impacto', 'real', 'em', 'diversos', 'perspectiva', 'aler', 'de isso', 'ver', 'que', 'o', 'areo', 'exigir', 'bastante', 'de', 'matematica', 'que', 'eu', 'tamber', 'gostar', 'e', 'achar', 'que', 'ser', 'bom', 'hoje', 'vejo', 'que', 'ir', 'e', 'um', 'recurso', 'valioso', 'para', 'o', 'sociedade', 'e', 'que', 'poder', 'ser', 'utilizar', 'em', 'todo', 'o', 'ambito', 'querer', 'poder', 'trabalhar', 'com', 'o', 'resolucao', 'de', 'problema', 'de o', 'vida', 'real', 'que', 'o', 'sociedade', 'sentir', 'diariamente', 'em o', 'pele']"
7,27/03/2026 17:34:12,Graduação,a minha principal motivacao pra comecar a estudar ia foi para desenvolver meu trabalho de conclusao de curso isso porque a ia em especifico a area de pln era capaz de oferecer a solucao viavel para o problema da minha pesquisa confesso que antes desse momento meu interesse pela area ainda nao tinha aflorado de tal modo entretanto apos iniciar o estudo me interessava cada vez mais como ainda me interesso ate os dias atuais,"['principal', 'motivacao', 'pra', 'comecar', 'estudar', 'ia', 'desenvolver', 'trabalho', 'conclusao', 'curso', 'porque', 'ia', 'especifico', 'area', 'pln', 'capaz', 'oferecer', 'solucao', 'viavel', 'problema', 'pesquisa', 'confesso', 'antes', 'desse', 'momento', 'interesse', 'area', 'ainda', 'aflorado', 'tal', 'modo', 'entretanto', 'apos', 'iniciar', 'estudo', 'interessava', 'cada', 'vez', 'ainda', 'interesso', 'dias', 'atuais']","['princip', 'motivaca', 'pra', 'comec', 'estud', 'ia', 'desenvolv', 'trabalh', 'conclusa', 'curs', 'porqu', 'ia', 'especif', 'are', 'pln', 'capaz', 'oferec', 'soluca', 'viavel', 'problem', 'pesquis', 'confess', 'ant', 'dess', 'moment', 'inter', 'are', 'aind', 'aflor', 'tal', 'mod', 'entretant', 'apo', 'inici', 'estud', 'interess', 'cad', 'vez', 'aind', 'interess', 'dia', 'atual']","['o', 'meu', 'principal', 'motivacao', 'pra', 'comecar', 'a', 'estudar', 'ir', 'ir', 'para', 'desenvolver', 'meu', 'trabalho', 'de', 'conclusao', 'de', 'curso', 'isso', 'porque', 'o', 'ir', 'em', 'especifico', 'o', 'areo', 'de', 'pln', 'ser', 'capaz', 'de', 'oferecer', 'o', 'solucao', 'viavel', 'para', 'o', 'problema', 'de o', 'meu', 'pesquisa', 'confessar', 'que', 'antes', 'de esse', 'momento', 'meu', 'interesse', 'por o', 'area', 'ainda', 'nao', 'ter', 'aflorar', 'de', 'tal', 'modo', 'entretanto', 'apo', 'iniciar', 'o', 'estudo', 'eu', 'interessar', 'cada', 'vez', 'mais', 'como', 'ainda', 'eu', 'interesso', 'ate', 'o', 'dia', 'atual']"
8,27/03/2026 17:38:48,Pós-graduação,a possibilidade de aprender novas coisas que se encaixam na atualidade muitas das tarefas da computacao tendem a ter um nivel de dificuldade muito amplo quando tentado solucionar com algoritmos classicos dai que com o advento dos novos algoritmos de ia surgiu esse interesse alem de que hoje em dia o mercado de trabalho esta buscando por esses profissionais mais voltados a ia,"['possibilidade', 'aprender', 'novas', 'coisas', 'encaixam', 'atualidade', 'muitas', 'tarefas', 'computacao', 'tendem', 'ter', 'nivel', 'dificuldade', 'amplo', 'tentado', 'solucionar', 'algoritmos', 'classicos', 'dai', 'advento', 'novos', 'algoritmos', 'ia', 'surgiu', 'interesse', 'alem', 'hoje', 'dia', 'mercado', 'trabalho', 'buscando', 'profissionais', 'voltados', 'ia']","['possibil', 'aprend', 'nov', 'cois', 'encaix', 'atual', 'muit', 'taref', 'computaca', 'tend', 'ter', 'nivel', 'dificuldad', 'ampl', 'tent', 'soluc', 'algoritm', 'class', 'dai', 'advent', 'nov', 'algoritm', 'ia', 'surg', 'inter', 'alem', 'hoj', 'dia', 'merc', 'trabalh', 'busc', 'profiss', 'volt', 'ia']","['o', 'possibilidade', 'de', 'aprender', 'novo', 'coisa', 'que', 'se', 'encaixam', 'em o', 'atualidade', 'muito', 'de o', 'tarefa', 'de o', 'computacao', 'tender', 'a', 'ter', 'um', 'nivel', 'de', 'dificuldade', 'muito', 'amplo', 'quando', 'tentar', 'solucionar', 'com', 'algoritmos', 'classico', 'dai', 'que', 'com', 'o', 'advento', 'de o', 'novo', 'algoritmo', 'de', 'ia', 'surgir', 'esse', 'interesse', 'aler', 'de', 'que', 'hoje', 'em', 'dia', 'o', 'mercado', 'de', 'trabalho', 'este', 'buscar', 'por', 'esse', 'profissional', 'mais', 'voltado', 'a', 'ia']"
9,27/03/2026 17:42:55,Graduação,a capacidade de entender a mente humana atraves da modelagem algoritmica,"['capacidade', 'entender', 'mente', 'humana', 'atraves', 'modelagem', 'algoritmica']","['capac', 'entend', 'ment', 'human', 'atrav', 'model', 'algoritm']","['o', 'capacidade', 'de', 'entender', 'o', 'mente', 'humano', 'atrave', 'de o', 'modelagem', 'algoritmicar']"
